ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
1577,SnO2,144.8,ALD,PET,2.89,1.64,2.14,60.028781,88.4,Transparent Conductors,S19
1578,ZnO,123.8,Sputtering,PET,2.39,3.14,1.36,8.650758,84.8,Sensors,S10
1579,ZnO,111.2,ALD,Glass,2.84,2.82,3.43,18.858548,91.79,Solar Cells,S23
1580,SnO2,65.8,Spin Coating,PET,2.53,2.67,2.74,23.847629,75.73,Transparent Conductors,S1
1581,MoS2,116.7,Thermal Evaporation,PET,2.0,3.51,4.87,4.575279,81.35,Optoelectronics,S21
1582,MoS2,130.2,CVD,Quartz,2.52,2.05,3.22,97.797718,80.91,Transparent Conductors,S17
1583,Graphene,84.3,CVD,Glass,2.18,1.67,0.96,46.520465,88.73,Optoelectronics,S18
1584,Graphene,90.0,ALD,Quartz,2.13,1.88,0.57,51.275347,88.5,Optoelectronics,S13
1585,MoS2,63.0,ALD,Glass,1.97,2.98,1.72,44.568961,78.14,Transparent Conductors,S7
1586,ITO,53.9,CVD,Glass,2.13,3.48,1.51,33.247009,77.51,Sensors,S13
1587,Graphene,113.4,Thermal Evaporation,Silicon Wafer,1.91,3.63,0.77,72.064987,79.91,Transparent Conductors,S20
1588,TiO2,113.1,Spin Coating,Silicon Wafer,2.52,3.37,4.55,21.901444,92.37,Solar Cells,S2
1589,Graphene,130.3,CVD,Glass,2.16,3.22,3.83,28.913766,78.3,Transparent Conductors,S6
1590,TiO2,116.9,Sputtering,Glass,2.56,2.78,0.52,10.264886,75.04,Sensors,S13
1591,SnO2,106.0,CVD,PET,2.75,1.38,4.75,41.153802,91.06,Transparent Conductors,S9
1592,SnO2,49.6,Sputtering,PET,2.23,3.84,3.64,50.948023,84.15,Solar Cells,S6
1593,SnO2,79.4,Thermal Evaporation,Quartz,2.54,3.3,2.82,44.105679,93.61,Solar Cells,S7
1594,Graphene,119.7,Sputtering,Silicon Wafer,1.5,2.95,4.72,78.936139,78.59,Optoelectronics,S10
1595,TiO2,105.2,Sputtering,PET,2.58,1.87,2.4,36.983048,73.77,Sensors,S18
1596,Al2O3,74.1,Sputtering,Silicon Wafer,2.8,3.5,0.92,8.875036,92.89,Solar Cells,S21
1597,TiO2,57.8,CVD,PET,2.76,1.06,1.02,96.686257,80.6,Solar Cells,S14
1598,SnO2,68.9,Spin Coating,PET,2.35,1.83,1.33,47.342197,91.31,Solar Cells,S25
1599,MoS2,116.8,Spin Coating,PET,2.17,3.77,4.47,1.862539,76.42,Sensors,S12
1600,ZnO,90.2,CVD,PET,2.91,1.15,4.04,9.17972,82.4,Sensors,S7
1601,Graphene,118.4,Thermal Evaporation,Glass,1.66,2.92,1.54,73.239703,73.13,Transparent Conductors,S2
1602,Al2O3,97.3,ALD,Quartz,1.54,2.54,4.12,84.518942,74.4,Optoelectronics,S2
1603,SiO2,74.2,Spin Coating,Glass,3.0,1.7,2.82,77.176703,83.48,Sensors,S20
1604,ZnO,61.8,Thermal Evaporation,Quartz,2.49,1.71,3.75,91.700147,92.79,Optoelectronics,S11
1605,Graphene,61.3,Spin Coating,Glass,2.47,1.38,2.47,24.419697,73.81,Solar Cells,S11
1606,Al2O3,133.9,Sputtering,Glass,1.69,2.99,1.89,6.536189,82.6,Transparent Conductors,S6
1607,SiO2,160.6,CVD,Silicon Wafer,2.96,3.99,2.41,94.462326,72.32,Sensors,S12
1608,MoS2,80.3,ALD,Silicon Wafer,1.99,2.5,1.15,23.849143,82.63,Solar Cells,S11
1609,SiO2,99.0,ALD,Glass,2.07,2.46,4.7,66.297361,85.62,Sensors,S2
1610,MoS2,51.6,Sputtering,Glass,1.72,1.65,4.05,37.881186,87.9,Solar Cells,S22
1611,Al2O3,61.8,Spin Coating,Silicon Wafer,1.51,1.76,4.36,20.958182,74.96,Sensors,S7
1612,MoS2,99.8,CVD,Quartz,2.81,2.04,4.66,51.816702,85.44,Optoelectronics,S19
1613,TiO2,110.7,CVD,Quartz,2.6,1.54,3.09,94.987359,70.59,Optoelectronics,S10
1614,SiO2,121.0,Spin Coating,Quartz,2.87,1.24,1.06,88.000527,77.95,Transparent Conductors,S3
1615,Graphene,99.0,Thermal Evaporation,Glass,1.53,3.95,3.63,33.315876,77.78,Transparent Conductors,S1
1616,ZnO,132.8,ALD,Quartz,2.24,2.14,0.89,79.800486,72.11,Solar Cells,S10
1617,SnO2,113.3,Spin Coating,Quartz,1.7,3.82,3.96,15.566286,86.93,Sensors,S1
1618,TiO2,119.0,CVD,Quartz,2.47,2.3,1.58,10.483555,89.91,Sensors,S13
1619,TiO2,65.6,Spin Coating,PET,2.59,1.99,4.71,89.334995,81.67,Solar Cells,S7
1620,ITO,134.6,Spin Coating,Glass,2.18,1.7,1.32,47.117102,87.55,Transparent Conductors,S3
1621,MoS2,49.2,ALD,Glass,2.17,2.18,3.49,30.588553,81.1,Solar Cells,S5
1622,ZnO,56.1,Spin Coating,Silicon Wafer,1.58,3.42,4.08,53.052848,85.05,Sensors,S3
1623,Al2O3,64.8,Thermal Evaporation,Silicon Wafer,1.54,3.94,1.85,10.477446,76.27,Sensors,S15
1624,MoS2,95.0,ALD,Quartz,1.93,1.52,2.99,80.192593,88.92,Sensors,S8
1625,ZnO,102.1,Sputtering,Quartz,2.15,2.52,2.47,89.065144,70.16,Solar Cells,S11
1626,Graphene,47.9,Thermal Evaporation,Glass,1.71,3.24,4.12,13.050164,87.27,Sensors,S20
1627,Al2O3,117.7,Spin Coating,Glass,2.36,2.05,0.87,89.406001,73.38,Solar Cells,S25
1628,MoS2,111.2,ALD,Silicon Wafer,2.3,3.34,3.76,38.119007,70.03,Optoelectronics,S15
1629,MoS2,153.2,Thermal Evaporation,Glass,1.94,1.8,2.76,69.067089,87.95,Transparent Conductors,S23
1630,TiO2,79.2,Sputtering,PET,2.9,3.54,1.57,29.322131,92.12,Optoelectronics,S4
1631,ZnO,98.4,CVD,Glass,2.23,2.06,3.53,22.918226,87.94,Solar Cells,S24
1632,SnO2,120.7,Spin Coating,Glass,2.8,1.17,4.26,27.993363,76.0,Optoelectronics,S9
1633,Al2O3,64.5,ALD,Glass,2.65,3.59,3.99,65.621183,94.43,Sensors,S7
1634,Graphene,117.8,CVD,Glass,1.65,3.06,2.55,71.332143,92.26,Sensors,S14
1635,SiO2,91.0,CVD,Glass,1.52,2.46,3.38,78.01775,93.57,Solar Cells,S22
1636,TiO2,105.1,Spin Coating,Quartz,2.29,3.65,0.55,51.958648,70.67,Optoelectronics,S2
1637,Graphene,44.5,CVD,PET,1.75,3.7,1.36,22.672937,84.51,Solar Cells,S6
1638,SiO2,46.4,Thermal Evaporation,PET,1.77,3.86,0.58,26.393174,74.14,Optoelectronics,S23
1639,SnO2,134.7,Sputtering,PET,3.0,3.69,1.9,75.673875,94.71,Solar Cells,S8
1640,ITO,75.0,Spin Coating,PET,1.94,1.44,4.64,18.956576,80.05,Solar Cells,S10
1641,SnO2,116.5,Thermal Evaporation,Quartz,2.24,3.99,1.81,71.852911,78.06,Sensors,S14
1642,SnO2,42.1,CVD,Silicon Wafer,1.65,2.19,3.38,63.264627,93.03,Sensors,S10
1643,Al2O3,85.8,Spin Coating,Silicon Wafer,2.81,3.92,1.69,86.028851,71.96,Optoelectronics,S10
1644,Graphene,70.7,Sputtering,Silicon Wafer,1.62,1.9,3.81,30.896253,76.78,Transparent Conductors,S19
1645,Graphene,81.1,Thermal Evaporation,Silicon Wafer,2.89,2.23,0.94,64.467871,82.68,Optoelectronics,S10
1646,Al2O3,74.8,Thermal Evaporation,Glass,1.86,2.54,1.29,46.778784,73.68,Sensors,S5
1647,SiO2,93.7,ALD,PET,2.73,1.82,2.17,44.440007,72.58,Optoelectronics,S20
1648,SnO2,110.4,Spin Coating,PET,1.78,2.91,0.59,27.045018,94.53,Optoelectronics,S15
1649,Graphene,120.3,Thermal Evaporation,PET,2.98,3.7,3.04,14.851819,78.87,Sensors,S17
1650,SiO2,126.7,Sputtering,Silicon Wafer,2.3,1.97,3.67,85.113247,94.63,Transparent Conductors,S10
1651,Graphene,94.3,Sputtering,PET,1.96,2.02,0.85,29.242086,93.94,Optoelectronics,S14
1652,TiO2,170.3,ALD,Silicon Wafer,2.35,2.16,2.86,77.498824,87.26,Transparent Conductors,S25
1653,MoS2,86.8,Sputtering,PET,2.63,3.88,0.82,2.88703,83.49,Optoelectronics,S5
1654,SiO2,121.3,Thermal Evaporation,PET,1.79,1.52,4.47,36.951913,71.55,Solar Cells,S6
1655,Al2O3,52.2,Sputtering,Glass,1.55,3.86,1.99,16.492949,91.65,Transparent Conductors,S7
1656,ITO,148.9,CVD,Quartz,2.21,3.59,4.19,9.049845,86.15,Transparent Conductors,S18
1657,ZnO,124.4,Thermal Evaporation,PET,2.8,3.35,4.36,97.849228,90.64,Optoelectronics,S21
1658,Graphene,123.6,ALD,PET,2.51,3.1,2.01,73.547195,75.41,Sensors,S13
1659,ZnO,146.1,CVD,Glass,2.14,1.52,4.08,0.606904,77.73,Sensors,S17
1660,TiO2,102.0,Spin Coating,Silicon Wafer,2.96,1.4,3.22,54.340374,91.71,Transparent Conductors,S4
1661,ITO,84.7,Thermal Evaporation,Glass,1.76,1.15,3.93,18.199158,87.15,Sensors,S4
1662,Al2O3,122.1,Sputtering,PET,2.01,3.19,2.89,22.088544,81.53,Transparent Conductors,S6
1663,ZnO,110.2,ALD,Glass,2.11,1.75,3.07,50.788667,82.13,Solar Cells,S25
1664,Graphene,110.8,ALD,Silicon Wafer,2.38,3.25,1.08,34.790836,87.86,Solar Cells,S12
1665,MoS2,91.2,Sputtering,Glass,2.99,3.23,0.72,49.343842,80.02,Sensors,S25
1666,SiO2,128.4,ALD,Silicon Wafer,2.91,2.76,0.95,25.049444,79.59,Optoelectronics,S14
1667,ITO,56.9,ALD,Quartz,2.36,3.8,1.17,22.153791,94.9,Transparent Conductors,S3
1668,SnO2,71.6,ALD,Glass,2.52,2.12,2.28,23.184475,73.19,Sensors,S4
1669,Al2O3,68.2,ALD,PET,2.54,2.15,2.65,54.31981,78.14,Optoelectronics,S22
1670,Al2O3,101.0,CVD,Silicon Wafer,1.79,3.74,2.78,29.7184,72.87,Transparent Conductors,S6
1671,SnO2,100.9,CVD,PET,2.94,3.5,2.86,4.018,76.4,Sensors,S10
1672,ZnO,117.2,CVD,Quartz,1.54,2.13,2.62,50.706888,73.45,Solar Cells,S2
1673,Al2O3,144.2,Sputtering,Quartz,2.95,1.95,1.47,48.576336,78.89,Sensors,S22
1674,MoS2,91.4,Spin Coating,PET,2.62,2.44,4.69,21.974762,72.18,Sensors,S10
1675,ZnO,107.5,ALD,Quartz,1.52,2.92,1.19,43.094241,82.08,Optoelectronics,S18
1676,Graphene,112.2,Thermal Evaporation,Quartz,1.52,2.64,4.23,19.986888,76.73,Solar Cells,S14
1677,TiO2,76.7,Thermal Evaporation,Quartz,1.52,1.59,2.17,10.343769,74.89,Sensors,S11
1678,TiO2,107.5,Spin Coating,Quartz,2.0,2.67,2.77,62.389579,78.34,Solar Cells,S23
1679,Graphene,90.2,Thermal Evaporation,Quartz,2.88,3.98,2.45,8.947125,92.19,Sensors,S11
1680,ITO,102.8,Sputtering,Glass,2.33,1.47,2.93,13.444986,88.19,Optoelectronics,S7
1681,SnO2,99.4,Spin Coating,Quartz,2.15,1.4,0.82,99.438038,72.95,Transparent Conductors,S25
1682,Al2O3,81.4,Spin Coating,Silicon Wafer,2.54,2.89,0.68,23.618445,86.48,Optoelectronics,S4
1683,TiO2,84.4,Spin Coating,Silicon Wafer,2.99,2.67,2.3,3.532646,88.81,Sensors,S12
1684,SiO2,120.9,Sputtering,Glass,1.52,3.0,3.73,37.648299,90.03,Solar Cells,S6
1685,SiO2,130.3,ALD,Quartz,2.2,1.9,2.64,94.816885,92.75,Solar Cells,S2
1686,SiO2,140.8,Spin Coating,Silicon Wafer,2.65,3.89,2.3,70.743019,91.69,Sensors,S12
1687,TiO2,98.0,Thermal Evaporation,Silicon Wafer,2.33,1.41,1.56,7.903005,80.0,Solar Cells,S15
1688,SiO2,98.8,ALD,Quartz,1.67,1.33,2.49,26.806398,81.62,Solar Cells,S14
1689,SnO2,97.0,ALD,PET,2.79,3.89,0.85,20.669259,73.15,Optoelectronics,S9
1690,SiO2,66.4,Thermal Evaporation,PET,2.36,2.04,1.25,64.433639,72.74,Transparent Conductors,S20
1691,Al2O3,115.5,Thermal Evaporation,PET,2.71,3.62,4.44,84.936632,82.94,Transparent Conductors,S7
1692,Al2O3,58.4,CVD,Quartz,1.81,3.85,0.6,19.011992,87.49,Transparent Conductors,S13
1693,Al2O3,113.7,Thermal Evaporation,PET,1.56,2.69,0.94,6.977449,84.2,Transparent Conductors,S23
1694,SiO2,71.4,Sputtering,Quartz,2.3,2.01,3.74,93.895452,83.11,Transparent Conductors,S9
1695,ZnO,112.1,Thermal Evaporation,Glass,1.93,2.59,2.8,91.305459,76.44,Sensors,S18
1696,MoS2,76.4,Spin Coating,Silicon Wafer,2.56,3.54,4.01,46.284915,78.2,Solar Cells,S21
1697,ZnO,27.7,ALD,Glass,2.92,3.42,3.74,77.836607,70.77,Optoelectronics,S12
1698,SnO2,105.2,CVD,Silicon Wafer,2.53,1.07,3.84,0.177984,88.59,Solar Cells,S5
1699,ZnO,70.2,Thermal Evaporation,PET,1.86,1.87,0.99,83.579519,70.61,Transparent Conductors,S16
1700,SnO2,111.8,Thermal Evaporation,Silicon Wafer,2.09,1.26,4.96,22.205265,91.06,Solar Cells,S1
1701,SnO2,91.7,CVD,Glass,2.7,3.46,1.51,43.633315,88.23,Optoelectronics,S1
1702,SiO2,65.3,Sputtering,Glass,2.88,2.25,4.44,33.744942,88.36,Solar Cells,S23
1703,SnO2,104.3,Sputtering,PET,2.03,3.64,3.31,59.382442,75.16,Solar Cells,S4
1704,Graphene,99.6,ALD,PET,1.73,3.7,3.07,26.317241,80.18,Sensors,S1
1705,MoS2,40.6,Spin Coating,Glass,2.43,3.21,2.23,89.900349,72.77,Optoelectronics,S9
1706,ZnO,77.1,CVD,Silicon Wafer,1.95,1.11,2.91,32.84607,74.2,Optoelectronics,S23
1707,Graphene,70.3,Spin Coating,Silicon Wafer,1.93,2.29,2.13,7.312314,79.95,Optoelectronics,S1
1708,SiO2,130.4,Spin Coating,Glass,2.72,2.03,1.6,87.829811,92.06,Solar Cells,S24
1709,TiO2,93.7,CVD,Glass,2.15,3.75,1.08,17.483782,79.56,Sensors,S17
1710,ITO,60.1,Sputtering,PET,1.96,1.95,1.12,70.79983,92.35,Sensors,S18
1711,SnO2,66.7,Sputtering,Glass,2.87,3.62,3.85,3.817444,71.65,Transparent Conductors,S15
1712,SnO2,114.7,ALD,Silicon Wafer,2.92,2.1,3.41,2.977946,87.0,Optoelectronics,S2
1713,ZnO,112.3,Thermal Evaporation,PET,2.41,1.14,2.48,98.48399,93.05,Sensors,S5
1714,Al2O3,102.7,Sputtering,Quartz,2.01,1.97,1.33,93.201995,73.5,Sensors,S18
1715,SnO2,96.1,CVD,Silicon Wafer,1.83,2.83,3.57,5.825138,72.07,Solar Cells,S18
1716,ZnO,130.5,Sputtering,Glass,1.85,2.45,1.62,34.940893,76.73,Solar Cells,S25
1717,SnO2,100.2,Thermal Evaporation,Quartz,1.75,1.41,4.7,19.073659,94.97,Optoelectronics,S22
1718,Al2O3,78.1,Spin Coating,Glass,2.06,1.8,1.52,9.06187,86.25,Optoelectronics,S25
1719,SiO2,79.3,ALD,Quartz,2.81,1.68,2.31,4.719218,86.48,Sensors,S11
1720,Graphene,85.7,CVD,PET,2.42,3.54,3.52,62.403726,73.88,Optoelectronics,S7
1721,MoS2,66.6,CVD,PET,1.82,2.45,4.02,1.665816,84.97,Solar Cells,S8
1722,TiO2,114.5,ALD,Glass,2.07,3.34,3.03,7.865695,90.91,Transparent Conductors,S20
1723,SnO2,109.0,Spin Coating,Quartz,2.35,2.29,4.76,73.547134,75.34,Optoelectronics,S5
1724,SnO2,134.5,ALD,Glass,2.48,1.11,2.38,34.950112,89.96,Solar Cells,S21
1725,ZnO,108.0,Thermal Evaporation,Glass,2.1,1.29,4.49,93.257399,78.63,Sensors,S19
1726,SnO2,90.8,Thermal Evaporation,Quartz,1.89,2.78,1.89,9.711845,93.01,Transparent Conductors,S16
1727,TiO2,108.2,Sputtering,Glass,1.52,3.95,3.73,85.760929,91.56,Transparent Conductors,S5
1728,Al2O3,119.0,ALD,Silicon Wafer,2.56,3.29,4.4,78.730977,86.34,Solar Cells,S23
1729,SnO2,76.9,Spin Coating,Silicon Wafer,2.82,1.22,2.59,64.20926,74.48,Optoelectronics,S24
1730,MoS2,84.7,Spin Coating,Glass,2.36,1.35,4.14,88.201446,77.7,Optoelectronics,S23
1731,SiO2,121.3,Thermal Evaporation,Silicon Wafer,1.59,1.22,0.95,31.992893,77.13,Optoelectronics,S23
1732,MoS2,91.1,Sputtering,PET,2.69,2.41,2.33,68.369856,77.27,Optoelectronics,S8
1733,SiO2,123.7,Spin Coating,PET,2.99,2.78,3.14,76.403681,81.42,Solar Cells,S3
1734,ITO,101.5,Thermal Evaporation,Quartz,1.95,3.37,3.96,31.935493,94.06,Solar Cells,S18
1735,ITO,138.9,ALD,Glass,2.75,3.44,0.84,7.924699,94.77,Sensors,S18
1736,MoS2,92.4,ALD,Silicon Wafer,2.94,1.91,1.74,31.497487,77.6,Optoelectronics,S24
1737,Al2O3,121.7,ALD,Quartz,2.3,3.64,3.86,3.417642,76.26,Sensors,S6
1738,MoS2,53.3,Thermal Evaporation,Silicon Wafer,2.02,3.86,1.86,63.084248,71.11,Transparent Conductors,S5
1739,ZnO,26.6,ALD,Glass,2.77,1.57,2.08,44.523266,74.55,Transparent Conductors,S12
1740,MoS2,68.5,Thermal Evaporation,Quartz,2.33,3.69,3.88,10.99709,93.21,Transparent Conductors,S19
1741,MoS2,103.5,Spin Coating,Glass,2.09,2.67,2.63,70.490341,78.69,Transparent Conductors,S3
1742,TiO2,106.3,Thermal Evaporation,PET,1.82,1.8,1.8,80.063716,83.09,Optoelectronics,S5
1743,MoS2,126.9,ALD,Silicon Wafer,2.55,3.59,3.27,93.31546,74.11,Solar Cells,S15
1744,ZnO,111.7,Thermal Evaporation,Silicon Wafer,2.0,3.19,4.37,28.106263,89.29,Sensors,S21
1745,Graphene,115.3,Spin Coating,Silicon Wafer,2.05,3.33,2.38,1.39443,93.48,Transparent Conductors,S25
1746,MoS2,89.0,Sputtering,Glass,2.71,2.92,3.26,84.184873,93.17,Solar Cells,S18
1747,Al2O3,125.5,CVD,Quartz,2.03,2.91,3.82,32.11398,87.63,Sensors,S11
1748,ZnO,120.8,Sputtering,Silicon Wafer,1.8,2.27,0.88,37.769294,70.63,Sensors,S3
1749,Graphene,73.0,CVD,Quartz,1.78,3.36,3.98,35.49231,87.17,Optoelectronics,S9
1750,SnO2,117.0,Spin Coating,Silicon Wafer,1.83,2.01,4.27,58.834055,75.19,Solar Cells,S15
1751,SiO2,101.2,Sputtering,PET,2.78,2.69,3.77,2.038441,80.95,Optoelectronics,S22
1752,ZnO,81.3,Sputtering,Quartz,2.5,1.57,3.28,30.858324,74.57,Transparent Conductors,S5
1753,SiO2,115.2,CVD,PET,2.59,2.36,3.52,13.950572,92.61,Transparent Conductors,S19
1754,ITO,89.0,CVD,Quartz,1.77,1.03,2.37,73.150309,87.68,Solar Cells,S2
1755,ITO,137.9,Thermal Evaporation,Glass,1.78,1.45,1.63,59.24222,87.98,Solar Cells,S6
1756,SiO2,132.7,Thermal Evaporation,Silicon Wafer,2.89,3.54,1.29,76.633758,93.94,Solar Cells,S25
1757,Graphene,104.2,CVD,PET,2.48,3.79,3.09,11.777439,88.01,Sensors,S18
1758,MoS2,78.4,Spin Coating,PET,2.12,2.36,3.01,12.113961,94.96,Sensors,S17
1759,ITO,73.4,ALD,Quartz,2.04,1.49,4.41,67.304911,92.23,Transparent Conductors,S8
1760,MoS2,71.9,Thermal Evaporation,Silicon Wafer,1.55,3.4,1.74,85.581994,93.43,Optoelectronics,S18
1761,TiO2,81.4,Sputtering,PET,1.58,3.43,3.05,93.426076,86.23,Transparent Conductors,S16
1762,SiO2,105.5,ALD,Glass,1.72,3.34,2.67,94.216894,94.9,Optoelectronics,S2
1763,Graphene,110.8,Spin Coating,Silicon Wafer,1.82,3.0,4.56,10.127946,70.89,Sensors,S11
1764,SiO2,82.6,CVD,PET,1.99,1.62,3.22,65.612122,79.38,Solar Cells,S8
1765,Graphene,112.9,Sputtering,PET,2.27,3.33,2.98,29.9049,92.37,Solar Cells,S15
1766,SiO2,62.0,Thermal Evaporation,PET,2.48,2.2,4.69,72.70971,93.28,Solar Cells,S9
1767,ITO,111.1,ALD,Quartz,1.78,1.13,1.11,23.886813,84.15,Sensors,S19
1768,MoS2,135.7,Thermal Evaporation,Quartz,1.7,2.86,1.22,60.905803,86.79,Optoelectronics,S13
1769,ZnO,75.8,Thermal Evaporation,Silicon Wafer,2.92,3.82,2.85,64.947332,89.78,Sensors,S15
1770,ITO,135.6,Sputtering,Silicon Wafer,1.84,1.13,4.7,49.048151,92.09,Transparent Conductors,S7
1771,ZnO,52.3,Sputtering,Glass,2.82,2.83,4.84,66.356891,78.5,Optoelectronics,S10
1772,MoS2,117.7,ALD,Glass,2.54,2.14,2.46,71.681266,83.58,Sensors,S22
1773,ITO,56.5,Sputtering,Quartz,2.83,3.28,2.3,9.685838,87.84,Sensors,S3
1774,TiO2,139.5,Thermal Evaporation,PET,2.53,3.75,4.89,43.121866,85.15,Sensors,S23
1775,TiO2,67.7,Spin Coating,Quartz,1.56,3.71,3.33,39.997154,74.69,Sensors,S11
1776,ITO,116.3,Spin Coating,Quartz,1.61,2.63,2.21,71.57485,87.71,Transparent Conductors,S12
1777,SnO2,112.5,Spin Coating,Silicon Wafer,2.74,3.03,3.66,34.333755,84.62,Sensors,S20
1778,SiO2,164.5,Thermal Evaporation,Quartz,2.87,1.64,4.53,66.629842,75.67,Solar Cells,S25
1779,ZnO,117.7,Spin Coating,Glass,2.54,3.45,1.02,92.335133,89.49,Optoelectronics,S2
1780,Al2O3,110.1,Spin Coating,PET,1.65,2.92,3.96,43.469664,84.22,Optoelectronics,S22
1781,ZnO,84.1,Thermal Evaporation,Quartz,2.97,3.44,3.93,11.898378,86.81,Optoelectronics,S2
1782,ZnO,125.7,Thermal Evaporation,Silicon Wafer,2.06,3.73,4.89,61.730293,87.04,Solar Cells,S12
1783,SiO2,35.1,Sputtering,Quartz,2.58,1.67,1.83,29.892498,86.98,Solar Cells,S17
1784,ITO,109.8,CVD,Silicon Wafer,2.48,2.63,4.13,32.647628,82.76,Solar Cells,S19
1785,Graphene,89.0,ALD,Silicon Wafer,1.86,2.58,0.9,75.140495,80.52,Transparent Conductors,S9
1786,SiO2,60.3,Sputtering,Silicon Wafer,1.61,1.28,3.23,96.65174,79.53,Solar Cells,S18
1787,TiO2,100.4,Sputtering,Silicon Wafer,1.89,2.55,1.31,25.013665,93.21,Optoelectronics,S17
1788,SiO2,99.4,Thermal Evaporation,PET,2.49,2.91,0.61,19.673661,93.6,Optoelectronics,S14
1789,Graphene,124.5,Thermal Evaporation,Glass,1.8,1.52,2.35,33.086039,93.31,Optoelectronics,S24
1790,ITO,110.0,ALD,Glass,1.57,2.5,4.26,82.010959,87.27,Transparent Conductors,S15
1791,TiO2,95.6,Spin Coating,Glass,2.85,3.79,0.9,64.835346,75.53,Solar Cells,S18
1792,SiO2,106.7,CVD,Quartz,1.51,2.84,1.42,27.399918,87.45,Sensors,S20
1793,TiO2,125.3,ALD,Glass,2.57,3.73,2.18,76.255583,73.98,Solar Cells,S23
1794,ZnO,83.7,ALD,Quartz,1.57,1.07,1.51,58.955824,86.7,Sensors,S12
1795,Al2O3,44.3,Thermal Evaporation,Silicon Wafer,2.32,3.67,3.26,24.964043,89.96,Transparent Conductors,S10
1796,SiO2,84.2,Thermal Evaporation,PET,2.47,3.75,4.25,50.777502,78.43,Solar Cells,S16
1797,TiO2,117.9,CVD,Glass,2.73,1.01,4.45,72.599204,83.62,Solar Cells,S21
1798,SnO2,156.1,Sputtering,Quartz,1.88,2.61,1.43,28.167697,80.0,Solar Cells,S9
1799,ITO,125.3,ALD,Glass,2.67,3.27,1.76,78.552458,80.95,Solar Cells,S16
1800,Al2O3,135.8,Thermal Evaporation,Glass,2.94,1.08,2.12,82.958237,87.82,Solar Cells,S14
1801,ITO,135.8,Spin Coating,Glass,2.7,1.13,2.49,78.707809,88.1,Solar Cells,S20
1802,ITO,138.4,ALD,Quartz,2.58,1.63,4.27,64.538596,74.76,Sensors,S24
1803,ITO,76.6,Sputtering,Glass,2.09,2.5,0.79,27.116402,71.2,Transparent Conductors,S6
1804,SnO2,61.1,Sputtering,Silicon Wafer,2.67,1.15,0.9,24.556493,87.06,Sensors,S5
1805,SnO2,58.6,Thermal Evaporation,Quartz,2.73,1.94,1.19,24.669069,76.24,Optoelectronics,S8
1806,ITO,45.8,Sputtering,Silicon Wafer,2.51,2.96,1.14,18.530458,87.36,Solar Cells,S12
1807,ZnO,109.2,Thermal Evaporation,Silicon Wafer,2.09,1.13,2.23,20.826207,73.48,Sensors,S2
1808,MoS2,117.0,ALD,Glass,1.86,1.34,2.34,21.198562,91.39,Sensors,S24
1809,Graphene,110.5,Sputtering,Quartz,1.73,1.32,0.61,68.209475,78.1,Solar Cells,S24
1810,TiO2,71.8,ALD,PET,2.9,3.05,3.07,75.085437,77.38,Optoelectronics,S14
1811,Graphene,100.6,CVD,PET,2.94,2.67,2.9,78.027696,84.45,Optoelectronics,S24
1812,Graphene,79.9,Thermal Evaporation,Quartz,1.78,3.96,2.09,77.395701,77.49,Sensors,S18
1813,Al2O3,105.4,Spin Coating,Glass,2.79,1.96,4.85,53.540045,81.18,Solar Cells,S12
1814,SiO2,101.5,Spin Coating,Silicon Wafer,1.81,3.28,2.88,30.883673,85.73,Optoelectronics,S11
1815,SiO2,110.7,Sputtering,Glass,1.74,1.73,4.08,64.127943,71.5,Sensors,S1
1816,TiO2,73.0,Thermal Evaporation,Silicon Wafer,1.7,3.6,2.79,42.765676,72.59,Sensors,S23
1817,SiO2,91.6,Spin Coating,Glass,2.03,3.69,0.75,32.361707,85.17,Transparent Conductors,S12
1818,TiO2,81.6,ALD,Quartz,2.52,1.72,0.86,59.226968,75.64,Optoelectronics,S14
1819,ITO,95.5,ALD,Silicon Wafer,1.66,3.04,2.11,61.135317,82.5,Solar Cells,S3
1820,Al2O3,56.2,Thermal Evaporation,Glass,2.3,2.87,0.78,53.755601,84.82,Optoelectronics,S20
1821,TiO2,112.3,ALD,Glass,2.04,1.67,1.84,3.535166,83.49,Sensors,S2
1822,ITO,89.6,Thermal Evaporation,PET,3.0,3.5,1.75,20.851468,94.33,Sensors,S20
1823,ZnO,126.3,ALD,Quartz,1.66,3.18,2.93,42.536872,70.07,Optoelectronics,S12
1824,ZnO,92.5,ALD,PET,1.57,3.41,3.69,38.234389,77.55,Sensors,S4
1825,ZnO,98.5,ALD,Glass,1.71,3.55,4.12,35.074504,90.9,Sensors,S4
1826,TiO2,96.4,Spin Coating,Quartz,1.68,1.87,1.02,75.199373,74.85,Optoelectronics,S15
1827,SiO2,65.9,Thermal Evaporation,Quartz,1.85,2.85,4.73,39.934915,77.04,Transparent Conductors,S16
1828,TiO2,118.7,Sputtering,PET,2.15,3.53,2.05,33.707429,86.27,Sensors,S20
1829,TiO2,74.9,ALD,Glass,2.96,2.62,4.31,87.225077,82.53,Sensors,S15
1830,TiO2,123.1,Thermal Evaporation,PET,2.36,1.7,1.1,76.957044,73.51,Solar Cells,S1
